checkout_id,member_id,book_id,checkout_date,return_date
9263,1047,517,2024-10-21,2024-11-07
9340,1072,513,2025-08-24,2025-09-01
9231,1053,523,2024-02-04,2024-02-16
9129,1032,513,2025-06-21,2025-06-29
9370,1079,511,2025-11-11,2025-12-03
9082,1010,528,2025-11-11,2025-11-18
9238,1057,513,2024-03-28,2024-04-08
9012,1010,501,2025-02-17,2025-01-11
9127,1024,506,2025-06-13,2025-01-11
9020,1016,506,2024-04-15,2024-05-04
9208,1044,525,2024-07-10,2024-08-01
9319,1065,515,2025-02-10,2025-02-21
9097,1018,501,2025-10-05,2025-10-14
9137,1041,519,2025-07-27,2025-08-05
9157,1032,525,2024-03-04,2024-04-03
9383,1070,501,2024-07-11,2024-07-31
9131,1034,505,2025-12-16,2025-12-25
9113,1027,507,2024-06-26,2024-07-08
9144,1024,501,2025-11-07,2025-11-25
9005,1008,513,2025-04-20,2025-04-29
9272,1044,518,2025-01-24,2025-02-04
9283,1072,513,2025-09-17,2025-09-25
9030,1018,507,2025-03-09,2025-01-11
9291,1065,526,2024-03-25,2024-03-31
9369,1076,501,2025-06-05,2025-01-11
9225,1059,516,2025-08-06,2025-08-22
9256,1059,521,2025-07-09,2025-01-11
9234,1053,525,2024-02-13,2024-03-06
9152,1030,525,2025-01-03,2025-01-11
9063,1018,515,2024-10-22,2025-01-11
9161,1040,519,2025-10-11,2025-11-01
9206,1050,519,2024-03-17,2025-01-11
9031,1020,530,2025-12-28,2026-01-05
9189,1032,507,2025-12-08,2025-12-16
9288,1065,519,2025-03-20,2025-03-31
9236,1052,507,2024-09-02,2024-09-29
9360,1077,520,2024-03-04,2024-03-16
9111,1027,510,2024-09-12,2024-10-03
9342,1068,501,2025-05-28,2025-06-27
9380,1022,513,2024-04-22,2024-04-28
9302,1061,507,2024-06-22,2025-01-11
9173,1027,532,2025-03-10,2025-04-06
9019,1014,513,2024-03-06,2024-03-23
9143,1024,518,2025-10-02,2025-01-11
9222,1050,505,2024-01-09,2024-02-01
9101,1020,532,2025-05-25,2025-06-15
9316,1065,513,2024-08-25,2024-09-17
9148,1027,532,2025-07-05,2025-07-26
9070,1018,513,2025-01-08,2025-02-01
9139,1036,521,2024-03-14,2024-03-20
9043,1005,505,2024-01-26,2024-02-04
9187,1034,502,2024-08-11,2025-01-11
9269,1054,507,2025-01-26,2025-01-31
9056,1010,519,2025-07-11,2025-07-27
9057,1020,519,2025-02-03,2025-01-11
9140,1034,513,2025-03-06,2025-04-02
9209,1058,525,2024-11-22,2024-12-12
9249,1057,519,2024-10-17,2024-11-03
9058,1006,501,2025-03-18,2025-04-09
9366,1079,503,2024-06-23,2024-07-23
9218,1044,532,2025-04-23,2025-05-04
9355,1075,515,2024-11-10,2024-12-02
9205,1053,525,2024-12-02,2024-12-14
9025,1001,525,2024-10-24,2024-11-07
9124,1024,525,2025-10-14,2025-11-13
9034,1015,511,2025-10-13,2025-01-11
9181,1041,509,2025-03-24,2025-01-11
9171,1027,507,2025-05-23,2025-06-19
9318,1067,513,2025-07-23,2025-08-17
9296,1065,501,2024-12-15,2025-01-11
9348,1075,532,2024-07-28,2024-08-25
9141,1027,529,2025-02-09,2025-03-03
9094,1022,527,2024-11-22,2024-12-08
9280,1054,517,2024-09-06,2024-09-15
9211,1044,507,2025-04-28,2025-05-25
9294,1067,507,2024-11-26,2025-01-11
9372,1076,519,2025-03-06,2025-04-02
9112,1031,521,2024-07-28,2024-08-22
9001,1008,501,2025-08-23,2025-08-28
9328,1070,501,2024-01-28,2025-01-11
9075,1018,510,2024-07-01,2025-01-11
9149,1032,507,2025-02-09,2025-02-18
9165,1030,519,2025-03-27,2025-04-02
9255,1044,509,2025-05-24,2025-06-13
9304,1068,519,2024-04-16,2024-05-09
9322,1061,510,2025-10-20,2025-11-15
9317,1061,507,2024-01-26,2024-02-09
9271,1044,513,2025-04-26,2025-05-06
9186,1034,516,2025-07-17,2025-08-03
9333,1072,520,2025-06-03,2025-06-08
9188,1023,507,2025-05-11,2025-06-08
9371,1079,528,2025-04-22,2025-05-02
9036,1010,515,2024-11-27,2024-12-24
9163,1034,531,2025-12-28,2026-01-02
9091,1008,525,2024-06-03,2024-06-12
9092,1019,507,2025-03-20,2025-03-27
9040,1016,529,2025-01-23,2025-02-11
9376,1024,518,2025-10-22,2025-11-04
9033,1020,522,2025-02-26,2025-03-11
9341,1065,516,2025-02-19,2025-03-09
9247,1044,510,2025-02-01,2025-02-23
9184,1026,501,2024-12-15,2025-01-11
9228,1044,516,2024-12-05,2024-12-26
9331,1065,525,2025-02-17,2025-02-23
9207,1044,527,2025-10-20,2025-11-04
9323,1072,519,2024-01-23,2024-01-28
9337,1072,529,2024-11-13,2025-01-11
9326,1062,501,2024-08-15,2024-08-21
9128,1024,501,2025-06-12,2025-06-19
9123,1027,511,2025-03-23,2025-04-11
9003,1015,501,2024-08-04,2024-08-13
9066,1005,513,2025-07-15,2025-07-31
9053,1008,516,2025-07-20,2025-08-08
9052,1019,501,2024-06-20,2024-06-29
9162,1030,519,2025-08-27,2025-09-11
9027,1018,519,2024-11-04,2025-01-11
9194,1024,513,2024-09-17,2024-10-09
9120,1034,526,2025-06-06,2025-06-26
9182,1037,525,2024-05-19,2024-06-03
9241,1059,519,2025-01-04,2025-01-11
9172,1030,513,2025-05-04,2025-05-26
9193,1034,519,2024-09-15,2024-10-01
9100,1010,513,2025-08-27,2025-09-22
9227,1059,513,2024-11-02,2024-11-20
9110,1030,506,2024-05-14,2024-05-30
9021,1008,501,2025-05-22,2025-05-29
9007,1008,507,2025-03-15,2025-03-31
9365,1075,501,2024-01-17,2024-02-01
9142,1027,516,2024-09-21,2024-10-14
9073,1008,513,2025-02-13,2025-01-11
9024,1010,507,2025-01-27,2025-02-09
9067,1008,507,2024-01-05,2024-01-29
9324,1061,529,2025-03-12,2025-04-10
9250,1044,507,2025-08-05,2025-08-23
9090,1016,507,2025-02-18,2025-03-04
9198,1027,524,2024-10-03,2024-10-19
9046,1022,513,2024-02-22,2025-01-11
9115,1034,502,2025-12-16,2026-01-15
9310,1067,511,2024-02-04,2024-02-12
9357,1077,516,2024-07-26,2024-08-15
9286,1072,507,2024-08-09,2024-08-16
9354,1079,502,2024-03-09,2024-03-18
9290,1065,519,2025-10-09,2025-01-11
9257,1047,501,2024-10-18,2024-11-16
9261,1047,509,2025-09-02,2025-09-18
9119,1024,518,2025-02-26,2025-03-15
9313,1068,507,2024-12-13,2024-12-19
9213,1050,501,2024-05-07,2024-05-14
9051,1003,513,2025-07-22,2025-08-18
9093,1008,507,2025-03-22,2025-04-19
9274,1054,522,2024-09-06,2024-09-17
9292,1074,525,2024-12-28,2025-01-06
9009,1022,506,2025-04-28,2025-05-04
9064,1008,502,2025-06-12,2025-06-21
9169,1030,513,2025-11-25,2025-01-11
9358,1077,513,2025-07-09,2025-07-24
9297,1065,501,2025-04-14,2025-01-11
9214,1058,525,2024-09-24,2025-01-11
9008,1010,520,2025-08-11,2025-01-11
9237,1057,513,2024-02-22,2025-01-11
9303,1061,509,2025-12-23,2026-01-10
9338,1072,501,2024-07-16,2025-01-11
9343,1075,529,2024-10-04,2024-10-14
9130,1024,503,2025-09-04,2025-09-17
9192,1027,519,2025-09-26,2025-10-07
9017,1018,519,2024-08-06,2024-08-11
9266,1053,519,2024-06-01,2024-06-15
9132,1035,511,2025-02-26,2025-03-13
9015,1010,507,2025-09-02,2025-09-14
9362,1079,507,2024-03-08,2024-04-07
9262,1054,524,2024-02-25,2024-03-22
9336,1061,528,2024-04-18,2024-05-15
9105,1027,501,2025-03-05,2025-03-25
9055,1015,525,2025-08-08,2025-08-27
9183,1027,532,2025-03-28,2025-04-10
9049,1010,514,2025-09-08,2025-01-11
9307,1072,501,2025-06-10,2025-07-09
9166,1032,519,2024-01-15,2024-01-24
9155,1028,525,2025-07-12,2025-07-18
9240,1050,525,2025-07-25,2025-08-24
9197,1030,501,2025-11-26,2025-12-01
9375,1034,525,2025-10-27,2025-11-15
9114,1034,516,2025-03-02,2025-03-17
9077,1008,514,2024-07-28,2024-08-12
9260,1044,518,2025-07-03,2025-07-27
9059,1016,518,2025-06-28,2025-07-27
9332,1062,522,2024-07-03,2025-01-11
9378,1018,501,2024-09-05,2024-09-21
9179,1027,517,2024-11-19,2024-12-17
9126,1034,529,2024-10-22,2024-10-28
9072,1007,513,2025-03-05,2025-04-01
9080,1008,501,2024-03-20,2024-04-18
9298,1065,507,2025-06-18,2025-07-11
9087,1020,511,2025-12-03,2025-12-13
9006,1018,507,2025-06-26,2025-07-01
9309,1068,511,2024-11-24,2024-12-12
9069,1010,505,2024-06-14,2024-07-10
9216,1050,519,2024-08-07,2025-01-11
9191,1027,505,2024-08-05,2024-08-29
9013,1002,501,2024-02-16,2024-02-29
9061,1016,505,2025-04-28,2025-05-20
9295,1061,513,2025-12-12,2026-01-01
9363,1079,507,2024-12-23,2025-01-15
9102,1010,502,2024-10-05,2025-01-11
9287,1065,532,2024-04-26,2024-05-23
9330,1072,513,2025-04-11,2025-05-09
9178,1024,518,2025-08-21,2025-09-04
9175,1027,513,2025-03-04,2025-03-27
9267,1047,530,2024-12-05,2024-12-20
9159,1030,501,2024-12-11,2025-01-11
9037,1008,509,2024-01-02,2024-01-22
9264,1059,507,2025-02-01,2025-02-13
9254,1059,501,2025-10-23,2025-11-07
9259,1057,501,2025-11-16,2025-11-30
9010,1009,513,2025-07-22,2025-08-16
9347,1075,519,2025-07-17,2025-07-31
9156,1032,503,2025-02-13,2025-03-14
9147,1028,512,2025-10-05,2025-11-01
9125,1039,501,2025-06-17,2025-01-11
9168,1030,513,2025-09-13,2025-09-23
9270,1057,517,2024-12-08,2024-12-30
9068,1003,501,2025-11-14,2025-12-03
9327,1065,513,2025-03-09,2025-04-01
9273,1047,510,2024-12-07,2025-01-05
9301,1062,519,2024-11-10,2024-11-23
9074,1003,501,2024-06-19,2024-07-06
9368,1079,525,2025-02-12,2025-03-10
9233,1059,512,2024-12-08,2024-12-15
9200,1060,509,2024-12-08,2025-01-11
9349,1077,501,2024-03-04,2024-04-02
